"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 10:43:13 CST 2023","Fri May 26 10:43:29 CST 2023","16373","core.testcase","test_excel","","","","test_2[席位管理主页部分条件模糊查询hq]",""
"passed","Fri May 26 10:41:23 CST 2023","Fri May 26 10:41:27 CST 2023","3654","core.testcase","test_excel","","","","test_1[验证输入部分内容单条件模糊查询]",""
"passed","Fri May 26 10:45:21 CST 2023","Fri May 26 10:45:37 CST 2023","15719","core.testcase","test_excel","","","","test_3[精准查询个人活动码hq]",""
"passed","Fri May 26 10:46:02 CST 2023","Fri May 26 10:46:17 CST 2023","15814","core.testcase","test_excel","","","","test_4[正常创建门店活动码hq]",""
"passed","Fri May 26 10:41:04 CST 2023","Fri May 26 10:41:08 CST 2023","4318","core.testcase","test_excel","","","","test_1[验证输入完整内容多条件查询]",""
"passed","Fri May 26 10:42:40 CST 2023","Fri May 26 10:42:47 CST 2023","6995","core.testcase","test_excel","","","","test_1[验证删除修改后的互动雷达功能]",""
"passed","Fri May 26 10:42:56 CST 2023","Fri May 26 10:43:13 CST 2023","16782","core.testcase","test_excel","","","","test_2[席位管理主页精确查询]",""
"passed","Fri May 26 10:50:28 CST 2023","Fri May 26 10:50:47 CST 2023","19256","core.testcase","test_excel","","","","test_5[删除活动码创建的门店和个人活动码hq]",""
"passed","Fri May 26 10:51:25 CST 2023","Fri May 26 10:51:29 CST 2023","3386","core.testcase","test_excel","","","","test_6[查询不存在的人群包]",""
"passed","Fri May 26 10:40:58 CST 2023","Fri May 26 10:41:04 CST 2023","6198","core.testcase","test_excel","","","","test_1[检验输入框输入内容限制]",""
"failed","Fri May 26 10:46:17 CST 2023","Fri May 26 10:46:33 CST 2023","15522","core.testcase","test_excel","","","","test_4[名称重复创建门店活动码hq]",""
"passed","Fri May 26 10:41:44 CST 2023","Fri May 26 10:41:55 CST 2023","11058","core.testcase","test_excel","","","","test_1[验证删除雷达渠道功能]",""
"passed","Fri May 26 10:49:08 CST 2023","Fri May 26 10:49:24 CST 2023","15191","core.testcase","test_excel","","","","test_5[模糊查询活动码hq]",""
"passed","Fri May 26 10:52:35 CST 2023","Fri May 26 10:52:42 CST 2023","6787","core.testcase","test_excel","","","","test_8[用户流失列表部分模糊查询hq]",""
"failed","Fri May 26 10:51:34 CST 2023","Fri May 26 10:51:42 CST 2023","7835","core.testcase","test_excel","","","","test_7[用户列表精确查询hq]",""
"passed","Fri May 26 10:43:29 CST 2023","Fri May 26 10:43:46 CST 2023","16498","core.testcase","test_excel","","","","test_2[验证席位管理主页条件查询导出功能hq]",""
"passed","Fri May 26 10:44:35 CST 2023","Fri May 26 10:44:46 CST 2023","10892","core.testcase","test_excel","","","","test_3[必填项为空创建个人活动码hq]",""
"passed","Fri May 26 10:44:03 CST 2023","Fri May 26 10:44:17 CST 2023","14198","core.testcase","test_excel","","","","test_3[正常创建个人活动码]",""
"passed","Fri May 26 10:49:24 CST 2023","Fri May 26 10:49:38 CST 2023","14483","core.testcase","test_excel","","","","test_5[编辑活动码hq]",""
"passed","Fri May 26 10:50:47 CST 2023","Fri May 26 10:50:53 CST 2023","5491","core.testcase","test_excel","","","","test_6[创建空标签人群包]",""
"passed","Fri May 26 10:49:55 CST 2023","Fri May 26 10:50:18 CST 2023","23537","core.testcase","test_excel","","","","test_5[活动码名称不存在查询活动码hq]",""
"passed","Fri May 26 10:51:14 CST 2023","Fri May 26 10:51:22 CST 2023","8009","core.testcase","test_excel","","","","test_6[修改人群包]",""
"passed","Fri May 26 10:45:01 CST 2023","Fri May 26 10:45:21 CST 2023","20416","core.testcase","test_excel","","","","test_3[编辑个人活动码hq]",""
"passed","Fri May 26 10:45:37 CST 2023","Fri May 26 10:45:54 CST 2023","16514","core.testcase","test_excel","","","","test_3[活动码名称不存在查询个人活动码hq]",""
"passed","Fri May 26 10:48:57 CST 2023","Fri May 26 10:49:08 CST 2023","11049","core.testcase","test_excel","","","","test_5[必填项为空创建活动码hq]",""
"passed","Fri May 26 10:50:53 CST 2023","Fri May 26 10:50:56 CST 2023","3536","core.testcase","test_excel","","","","test_6[模糊查询人群包]",""
"passed","Fri May 26 10:41:27 CST 2023","Fri May 26 10:41:36 CST 2023","9579","core.testcase","test_excel","","","","test_1[验证添加雷达渠道功能]",""
"passed","Fri May 26 10:45:54 CST 2023","Fri May 26 10:46:02 CST 2023","7968","core.testcase","test_excel","","","","test_3[删除个人活动码hq]",""
"failed","Fri May 26 10:51:42 CST 2023","Fri May 26 10:51:51 CST 2023","8364","core.testcase","test_excel","","","","test_7[用户列表模糊查询hq]",""
"passed","Fri May 26 10:52:28 CST 2023","Fri May 26 10:52:35 CST 2023","7183","core.testcase","test_excel","","","","test_8[用户流失列表模糊查询hq]",""
"passed","Fri May 26 10:47:20 CST 2023","Fri May 26 10:47:34 CST 2023","14117","core.testcase","test_excel","","","","test_4[编辑门店活动码hq]",""
"passed","Fri May 26 10:42:09 CST 2023","Fri May 26 10:42:15 CST 2023","5994","core.testcase","test_excel","","","","test_1[验证互动雷达主页操作栏删除功能]",""
"passed","Fri May 26 10:51:22 CST 2023","Fri May 26 10:51:25 CST 2023","3469","core.testcase","test_excel","","","","test_6[精确查询人群包]",""
"passed","Fri May 26 10:52:42 CST 2023","Fri May 26 10:52:49 CST 2023","7099","core.testcase","test_excel","","","","test_8[用户流失列表不存在内容查询hq0]",""
"passed","Fri May 26 10:42:02 CST 2023","Fri May 26 10:42:09 CST 2023","7339","core.testcase","test_excel","","","","test_1[验证重置后查询]",""
"passed","Fri May 26 10:47:34 CST 2023","Fri May 26 10:47:51 CST 2023","17064","core.testcase","test_excel","","","","test_4[精准查询门店活动码hq]",""
"failed","Fri May 26 10:44:17 CST 2023","Fri May 26 10:44:33 CST 2023","15252","core.testcase","test_excel","","","","test_3[名称重复创建个人活动码hq]",""
"passed","Fri May 26 10:41:36 CST 2023","Fri May 26 10:41:44 CST 2023","7181","core.testcase","test_excel","","","","test_1[验证雷达数据条件查询下拉列表显示雷达渠道选项]",""
"passed","Fri May 26 10:40:34 CST 2023","Fri May 26 10:40:44 CST 2023","9990","core.testcase","test_excel","","","","test_1[雷达名称重复创建互动雷达]",""
"passed","Fri May 26 10:51:10 CST 2023","Fri May 26 10:51:14 CST 2023","3690","core.testcase","test_excel","","","","test_6[二次模糊查询人群包]",""
"passed","Fri May 26 10:48:11 CST 2023","Fri May 26 10:48:19 CST 2023","8764","core.testcase","test_excel","","","","test_4[删除门店活动码hq]",""
"passed","Fri May 26 10:41:55 CST 2023","Fri May 26 10:42:02 CST 2023","6983","core.testcase","test_excel","","","","test_1[验证雷达数据条件查询下拉列表不显示已删除雷达渠道选项]",""
"passed","Fri May 26 10:52:49 CST 2023","Fri May 26 10:52:58 CST 2023","9140","core.testcase","test_excel","","","","test_8[用户流失列表不存在内容查询hq1]",""
"passed","Fri May 26 10:47:51 CST 2023","Fri May 26 10:48:11 CST 2023","19560","core.testcase","test_excel","","","","test_4[活动码名称不存在查询门店活动码hq]",""
"passed","Fri May 26 10:42:36 CST 2023","Fri May 26 10:42:40 CST 2023","4868","core.testcase","test_excel","","","","test_1[验证修改内容是否生效]",""
